tick,y,velX,velY,velZ,onGround,isFall
33304,133.0,0.04741853426058389,-0.0784000015258789,-0.09713846100822454,true,false
33305,133.0,0.02589052271353105,-0.0784000015258789,-0.053037605870947885,true,false
33306,133.0,0.014136227043547868,-0.0784000015258789,-0.028958536169147613,true,false
33307,133.0,-0.0373198622038295,-0.0784000015258789,0.013079183561256648,true,false
33308,133.0,-0.06574972156665389,-0.0784000015258789,0.03550302287357638,true,false
33309,133.0,-0.03589935214519711,-0.0784000015258789,0.019384652740551053,true,false
33310,133.0,-0.019601048547990912,-0.0784000015258789,0.010584021625702798,true,false
33311,133.0,-0.01070217375028864,-0.0784000015258789,0.005778876478865415,true,false
33312,133.0,-0.005843387546382415,-0.0784000015258789,0.0031552669239530606,true,false
33313,133.0,-0.003190489970908592,-0.0784000015258789,0.0017227759405833234,true,false
33314,133.0,-0.0017420077264548662,-0.0784000015258789,9.406357728158112E-4,true,false
33315,133.0,0.0,-0.0784000015258789,0.0,true,false
33316,133.0,0.0,-0.0784000015258789,0.0,true,false
33317,133.0,0.0,-0.0784000015258789,0.0,true,false
33318,133.0,0.0,-0.0784000015258789,0.0,true,false
33319,133.0,0.0,-0.0784000015258789,0.0,true,false
33320,133.0,0.0,-0.0784000015258789,0.0,true,false
33321,133.0,0.0,-0.0784000015258789,0.0,true,false
33322,133.0,0.0,-0.0784000015258789,0.0,true,false
33323,133.0,0.016992354654138838,-0.0784000015258789,0.06745303133340988,true,false
33324,133.41999998688698,0.052945774777903326,0.33319999363422365,0.21017410934250355,false,false
33325,133.7531999805212,0.05384477342943192,0.24813599859094576,0.21374278392848753,false,false
33326,134.00133597911216,0.05466286222590012,0.16477328182606651,0.21699027789532516,false,false
33327,134.1661092609382,0.05540732305214141,0.08307781780646721,0.2199454974903163,false,false
33328,134.24918707874468,0.056002830157886097,0.0030162615090425808,0.22265523339261528,false,false
33329,134.25220334025371,0.05624867425764843,-0.07544406518948656,0.22519247002290133,false,false
33330,134.17675927506423,0.05602551048256075,-0.15233518685055708,0.22760134608745133,false,false
33331,134.02442408821366,0.05519235308778899,-0.22768848754498797,0.22991878415996958,false,false
33332,133.79673560066868,0.0536470422007315,-0.30153472366278034,0.23215899374863416,false,false
33333,133.4952008770059,0.051451826765072234,-0.3739040364667221,0.234301507104089,false,false
33334,133.1212968405392,0.04873078396407915,-0.4448259643949201,0.23632240673899496,false,false
33335,133.0,0.045780159028658084,-0.0784000015258789,0.2381957401550959,true,false
33336,133.41999998688698,0.035547113650811875,0.33319999363422365,0.3085036594304185,false,false
33337,133.7531999805212,0.03371645053489151,0.24813599859094576,0.30388471341084033,false,false
33338,134.00133597911216,0.03221916321952329,0.16477328182606651,0.2996708859780289,false,false
33339,134.1661092609382,0.03105841920696388,0.08307781780646721,0.29582201121794927,false,false
33340,134.24918707874468,0.030002142125093095,0.0030162615090425808,0.2923195350853361,false,false
33341,134.25220334025371,0.030371774428015034,-0.07544406518948656,0.2889934708994434,false,false
33342,134.17675927506423,0.031044923524577637,-0.15233518685055708,0.28591925165478504,false,false
33343,134.02442408821366,0.032041796117745575,-0.22768848754498797,0.2830613306913799,false,false
33344,133.79673560066868,0.03331469560001692,-0.30153472366278034,0.2803969975194225,false,false
33345,133.4952008770059,0.035005474776165946,-0.3739040364667221,0.27786898361944645,false,false
